portfolioid,investedvalue
p001,407459
p002,144401
p003,139120
p004,141786
p005,91402
p006,369549
p007,250563
p008,374906
p009,408159
p010,176264
p011,310920
p012,355742
p013,125034
p014,171733
p015,291775
p016,384445
p017,183157
p018,290947
p019,183864
p020,399616
p021,54926
p022,293926
p023,200801
p024,405263
p025,336574
p026,132824
p027,88724
p028,281593
p029,231175
p030,358056
p031,206842
p032,384987
p033,272460
p034,411923
p035,181123
p036,289513
p037,208398
p038,154447
p039,251690
p040,303340
p041,105917
p042,174364
p043,249944
p044,349852
p045,238197
p046,351366
p047,205122
p048,416623
p049,204785
p050,61502
p051,395101
p052,257516
p053,193906
p054,54245
p055,346709
p056,409556
p057,440420
p058,75713
p059,367931
p060,440684
p061,310428
p062,200048
p063,170648
p064,368276
p065,234717
p066,164821
p067,383771
p068,149683
p069,375525
p070,181400
p071,405343
p072,446140
p073,427974
p074,395600
p075,406964
p076,121711
p077,379382
p078,100941
p079,378968
p080,388868
p081,70668
p082,211969
p083,281118
p084,67492
p085,353863
p086,241292
p087,433967
p088,118897
p089,97255
p090,204722
p091,221294
p092,441895
p093,267843
p094,142085
p095,155274
p096,119289
p097,332805
p098,241814
p099,328319
p100,313084
p101,192882
p102,136268
p103,184726
