portfolioid,datetime,annualreturns,dailychange,gainloss
p001,2024-01-27 15:51:00,1.04,2.47,-792
p001,2024-02-11 03:29:00,14.72,-4.25,1944
p001,2024-03-25 07:55:00,8.85,2.24,770
p001,2024-04-13 17:23:00,-3.16,2.91,-1631
p001,2024-05-01 08:34:00,-2.47,-0.45,-1494
p001,2024-06-22 23:43:00,0.37,0.85,-927
p001,2024-07-27 20:23:00,-2.79,1.75,-1557
p001,2024-08-16 00:39:00,13.11,4.43,1621
p001,2024-09-11 19:14:00,8.26,-4.37,652
p001,2024-10-27 14:58:00,9.36,-1.98,871
p001,2024-11-14 03:08:00,-4.08,4.46,-1815
p001,2024-12-10 15:07:00,-3.01,-2.65,-1602
p002,2024-01-18 04:24:00,4.29,-1.29,-142
p002,2024-02-24 22:34:00,3.58,0.87,-284
p002,2024-03-24 04:56:00,3.5,1.55,-301
p002,2024-04-27 15:39:00,3.36,4.39,-329
p002,2024-05-09 01:44:00,2.58,-2.83,-483
p002,2024-06-15 07:54:00,2.43,-4.01,-515
p002,2024-07-22 11:34:00,13.46,4.78,1693
p002,2024-08-12 01:25:00,0.65,-3.1,-870
p002,2024-09-04 14:05:00,8.57,-2.88,714
p002,2024-10-21 19:01:00,-3.96,2.87,-1793
p002,2024-11-08 04:50:00,6.56,-2.95,312
p002,2024-12-27 17:13:00,7.0,-2.84,401
p003,2024-01-28 07:21:00,10.85,-3.52,1171
p003,2024-02-20 00:17:00,12.58,4.84,1516
p003,2024-03-05 17:16:00,11.35,-3.26,1270
p003,2024-04-22 00:08:00,-4.7,-1.42,-1940
p003,2024-05-26 07:37:00,1.63,-4.84,-674
p003,2024-06-09 01:08:00,10.19,-0.79,1038
p003,2024-07-04 23:04:00,4.75,-0.52,-50
p003,2024-08-12 16:37:00,-2.77,-0.48,-1554
p003,2024-09-08 19:02:00,9.89,2.83,978
p003,2024-10-28 21:33:00,1.18,-0.42,-765
p003,2024-11-01 01:30:00,12.35,-0.98,1470
p003,2024-12-22 03:31:00,9.58,4.1,917
p004,2024-01-03 02:20:00,7.46,-3.52,491
p004,2024-02-05 08:39:00,7.96,0.85,593
p004,2024-03-23 10:24:00,7.23,0.31,446
p004,2024-04-15 16:38:00,3.81,-4.01,-238
