assetid,dividendyield,expenseratio
a001,0.052,0.011
a002,0.026,0.027
a003,0.034,0.018
a004,0.041,0.013
a005,0.044,0.014
a006,0.025,0.026
a007,0.032,0.027
a008,0.048,0.015
a009,0.023,0.028
a010,0.035,0.027
a011,0.032,0.021
a012,0.027,0.017
a013,0.021,0.014
a014,0.024,0.02
a015,0.052,0.028
a016,0.026,0.017
a017,0.039,0.027
a018,0.032,0.017
a019,0.051,0.012
a020,0.059,0.02
a021,0.06,0.014
a022,0.021,0.018
a023,0.055,0.012
a024,0.032,0.011
a025,0.054,0.027
a026,0.033,0.028
a027,0.024,0.025
a028,0.05,0.01
a029,0.05,0.023
a030,0.028,0.014
a031,0.031,0.021
a032,0.051,0.023
a033,0.031,0.013
a034,0.025,0.029
a035,0.042,0.012
a036,0.042,0.021
a037,0.031,0.029
a038,0.052,0.021
a039,0.027,0.016
a040,0.056,0.021
