transactionid,companyid
t193,brk015
t169,brk001
t158,brk002
t191,brk013
t183,brk005
t159,brk002
t194,brk010
t184,brk012
t180,brk006
t189,brk005
t161,brk011
t174,brk011
t181,brk008
t151,brk012
t162,brk002
t163,brk006
t152,brk001
t174,brk008
t196,brk002
t161,brk010
t151,brk008
t154,brk005
t176,brk007
t158,brk015
t170,brk005
t182,brk008
t177,brk012
t198,brk003
t160,brk009
t169,brk009
t166,brk015
t188,brk002
t167,brk003
t193,brk007
t152,brk007
t163,brk003
t180,brk013
t189,brk005
t191,brk004
t178,brk008
t197,brk013
t183,brk004
t159,brk006
t175,brk013
t179,brk006
t153,brk006
t190,brk012
t164,brk015
t172,brk001
t157,brk002
t173,brk009
t168,brk012
t181,brk002
t195,brk004
t171,brk006
t162,brk001
t165,brk006
t186,brk013
t192,brk001
t184,brk012
t185,brk005
t200,brk002
t187,brk005
t156,brk015
t199,brk001
t194,brk011
t155,brk012
